State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,sex ratio,Literacy rate
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,3476,99466,90.7,57.1
Uttar Pradesh,Varanasi,25.360570888888898,82.82529666666672,197,3676841,1921857,1754984,2403903,19214,336056,91.3,65.4
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,1830,109876,113.9,70.1
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,435,47083,109.0,69.1
Uttaranchal,Chamoli,30.583386114649652,79.56281095541402,57,391605,193991,197614,280556,899,71524,101.9,71.6
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,548,37725,98.0,68.4
Uttaranchal,Pithoragarh,30.147206318681295,80.34229230769236,62,483439,239306,244133,345550,1344,95421,102.0,71.5
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,1366,117239,107.7,65.9
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,7883,254802,92.0,62.9
Uttaranchal,Uttarkashi,30.96895855203623,78.56880615384617,56,330086,168597,161489,215126,602,52621,95.8,65.2
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,4273,334670,95.7,62.1
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,32323,1049943,94.5,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,5210,333752,95.6,61.6
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,2518,168069,95.6,64.6
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,10943,297176,97.0,71.2
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,30751,796953,93.9,74.3
West Bengal,Hugli,22.879292647058815,88.00010264705891,338,5519145,2814653,2704492,4078388,31725,965258,96.1,73.9
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,9322,382500,95.3,64.5
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,136618,927602,90.8,79.8
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,5357,297716,94.4,52.3
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,7951,541169,95.8,57.1
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,12787,623729,94.7,67.4
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,3551,189889,95.7,55.5
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,2883,199307,93.9,49.5
