State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,sex ratio,Literacy rate
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,13747,319930,96.1,75.6
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,39082,446200,91.5,74.0
Punjab,Kapurthala,31.336592638036834,75.47641165644177,36,815168,426311,388857,576567,9732,161206,91.2,70.7
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,58589,703624,87.3,73.2
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,423560,2673,140099,88.3,55.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,627889,7897,183396,89.3,63.1
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,524848,4571,166585,89.6,58.2
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,1266791,24274,352929,89.1,66.8
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,502731,6600,129123,91.5,73.4
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,1002077,10736,305557,88.5,60.5
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,13499,393498,95.1,59.1
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,9750,485723,89.5,59.4
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,2324,120603,98.0,46.1
Rajasthan,Baran,24.980232432432437,76.86210651828291,128,1222755,633945,588810,693307,1363,161310,92.9,56.7
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,2766,126494,90.2,45.6
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,4179,288723,88.0,58.1
Rajasthan,Bhilwara,25.451197677595637,74.63947595628417,122,2408523,1220736,1187787,1256126,6207,373644,97.3,52.2
Rajasthan,Bikaner,28.124890683229815,73.26943322981371,101,2363937,1240801,1123136,1278801,7607,220793,90.5,54.1
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,1392,136969,92.5,52.7
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,4941,268172,97.2,53.2
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,1149269,2577,231696,94.0,56.3
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,1719,195277,90.5,57.4
Rajasthan,Dhaulpur,26.723970549450534,77.74476219780222,106,1206516,653647,552869,683098,1330,96086,84.6,56.6
Rajasthan,Dungarpur,23.751048076923077,73.84765641025645,124,1388552,696532,692020,681591,1477,141275,99.4,49.1
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,1193343,6295,283142,88.7,60.6
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,1034136,3360,243163,90.6,58.3
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,4300965,76565,990085,91.0,64.9
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,308653,754,43141,85.2,46.1
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,829582,1585,161845,95.2,45.4
Rajasthan,Jhalawar,24.247255414746572,76.11242891705065,129,1411129,725143,685986,739792,1750,220428,94.6,52.4
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,4828,297559,95.0,64.1
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,19335,408808,91.6,55.1
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,1059,132079,86.1,55.3
Rajasthan,Kota,25.175718080000017,76.18618928000001,127,1951014,1021161,929853,1298345,12843,339899,91.1,66.5
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,4449,347344,95.0,53.2
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,4043,326793,98.7,53.3
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,1989,193276,99.0,53.5
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,1887,140947,89.7,55.5
Rajasthan,Sikar,27.646440586419757,75.29317422839503,111,2677333,1374990,1302343,1652117,5647,339457,94.7,61.7
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,2146,134089,94.0,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,1908,158264,95.2,52.7
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,14211,357846,95.8,51.6
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,80037,352758,88.4,79.2
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,1749,177502,101.5,63.7
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,217368,1096334,98.9,81.3
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,63273,896325,100.0,76.2
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,15396,598412,98.7,69.7
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,3651,337972,94.6,60.9
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,9155,500057,99.8,68.6
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,18604,595211,99.3,66.3
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,100322,961161,98.6,75.4
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,15673,465692,101.9,82.8
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,4915,264949,101.5,68.3
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,34097,754141,99.0,74.8
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,5585,381940,102.5,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,8960,441044,98.6,68.1
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,1507,135751,100.3,66.5
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,4494,354493,101.5,68.6
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,978946,5172,291400,98.3,72.3
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,2285562,20660,835377,95.4,65.6
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,959744,5773,314270,100.3,71.7
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,1182416,1223474,1790998,13495,555582,103.5,74.4
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,625683,620216,870080,4667,312310,99.1,69.8
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1876062,1852042,2791721,75634,909400,98.7,74.9
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,626693,637584,946471,4416,303114,101.7,74.9
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,1235889,1228986,1626813,6445,549077,99.4,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,1961688,1974643,2773928,20623,865913,100.7,70.5
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,967709,974579,1398788,10219,505950,100.7,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,194544,183686,276217,273,46875,94.4,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,352860,341087,520402,997,81601,96.7,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,447544,428457,646810,948,133744,95.7,73.8
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,879428,846311,1361354,6394,314567,96.2,78.9
Uttar Pradesh,Agra,26.995129749103935,78.05278291517321,146,4418797,2364953,2053844,2680510,27183,536402,86.8,60.7
Uttar Pradesh,Aligarh,27.937485768500935,78.00146831119557,143,3673889,1951996,1721893,2092567,13634,268120,88.2,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,3131807,2822584,3665727,24122,391542,90.1,61.6
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,1212410,1185478,1486939,2509,99581,97.8,62.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,740040,639505,930836,2404,65479,86.4,67.5
Uttar Pradesh,Azamgarh,26.00829095477383,83.01220251256285,191,4613913,2285004,2328909,2771917,6652,183381,101.9,60.1
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,700070,602978,797970,2989,119121,86.1,61.2
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,1843884,1643847,1398368,2681,85814,89.2,40.1
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,1672902,1566872,1963590,4672,119972,93.7,60.6
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1114721,1033944,868357,1551,57400,92.8,40.4
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,965876,833534,1002937,1655,73522,86.3,55.7
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,1707073,1553626,1692458,3159,108116,91.0,51.9
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,2357665,2090694,2191759,15164,272830,88.7,49.3
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,1255272,1209192,1393783,3423,108101,96.3,56.6
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,1921215,1761498,2135393,7303,268353,91.7,58.0
Uttar Pradesh,Bulandshahr,28.348758620689676,78.01082758620684,142,3499171,1845260,1653911,2031656,7865,223922,89.6,58.1
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,1017905,934851,1174606,3492,99602,91.8,60.2
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,527721,464009,531072,827,41046,87.9,53.6
Uttar Pradesh,Deoria,26.422188565488575,83.8244070686071,190,3100946,1537436,1563510,1875239,4469,150001,101.7,60.5
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,2635,69591,87.3,59.5
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,2964,113098,87.0,67.1
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,4746,127754,96.2,58.7
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,2624,88081,87.4,58.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,3385,75263,90.1,57.4
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,5834,196080,87.5,60.9
Uttar Pradesh,Gautam Buddha Nagar,28.39331103896103,77.52462467532465,141,1648115,890214,757901,1122947,53181,257586,85.1,68.1
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,78116,695130,88.1,66.7
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,2197549,5309,105767,95.2,60.7
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,1679994,4313,104084,92.1,48.9
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,2700328,14597,296619,95.0,60.8
Uttar Pradesh,Hamirpur,25.738158381502895,79.82619479768789,28,454768,217070,237698,358091,2521,104120,109.5,78.7
Uttar Pradesh,Hamirpur,25.738158381502895,79.82619479768789,168,1104285,593537,510748,653299,1196,55929,86.1,59.2
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,3845,95508,86.8,54.3
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,1075196,2217,104176,86.5,63.6
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,2731677,8002,181467,102.4,60.8
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,8517,183340,89.0,65.3
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771594,78.39009365482241,137,1840221,963449,876772,983110,2825,89329,91.0,53.4
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,2488,61491,87.9,61.4
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,2682,49753,86.5,65.2
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,1503,43753,90.8,50.9
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,3486,127331,96.1,54.8
Uttar Pradesh,Lalitpur,24.588771610169452,78.60082330508473,167,1221592,641011,580581,641191,1079,77082,90.6,52.5
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,68506,582769,91.7,68.1
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,1316,42936,87.8,55.7
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,2642,79022,88.1,64.4
